season,year,Q,lambda
Ann,1984,1625.30222526149,25
Ann,1985,1607.3419738127,25
Ann,1986,1203.125282452,25
Ann,1987,1494.03082553067,25
Ann,1988,1828.98884310829,25
Ann,1989,1752.87086979862,25
Ann,1990,1612.08858269776,25
Ann,1991,1449.04022600514,25
Ann,1992,1443.43846370741,25
Ann,1993,1320.71970620512,25
Ann,1994,1854.84945720789,25
Ann,1995,2025.6428800372,25
Ann,1996,2137.22416360777,25
Ann,1997,1211.99788504254,25
Ann,1998,834.767597799527,25
Ann,1999,1751.10289406893,25
Ann,2000,2174.03068252059,25
Ann,2001,2371.49737171143,25
Ann,2002,1760.87054767157,25
Ann,2003,1632.62952841607,25
