season,year,Q,lambda
Ann,1841,1713.67661469677,10
Ann,1842,1378.57693449626,10
Ann,1843,881.676919440166,10
Ann,1844,610.887351831251,10
Ann,1845,1040.96038991454,10
Ann,1846,1056.16709330587,10
Ann,1847,1440.46783755621,10
Ann,1848,1335.23063702144,10
Ann,1849,1238.10715590219,10
Ann,1850,985.455985236587,10
Ann,1851,880.866595639231,10
Ann,1852,1312.78699746281,10
Ann,1853,1094.41426936168,10
Ann,1854,1464.81457081973,10
Ann,1855,1498.78623799954,10
Ann,1856,1061.33731963765,10
Ann,1857,1263.67604587957,10
Ann,1858,1081.1519215392,10
Ann,1859,1181.95102704365,10
Ann,1860,1229.44333897546,10
Ann,1861,1604.64137856293,10
Ann,1862,2004.4567958428,10
Ann,1863,1742.51739150122,10
Ann,1864,1657.84548969144,10
Ann,1865,1051.46886810471,10
Ann,1866,1316.29600484117,10
Ann,1867,1084.36700275068,10
Ann,1868,864.673303523759,10
Ann,1869,1220.56202791446,10
Ann,1870,1418.60535111448,10
Ann,1871,1380.16538834003,10
Ann,1872,1978.3693148153,10
Ann,1873,1339.31567980635,10
Ann,1874,928.877141148081,10
Ann,1875,2036.59255888451,10
Ann,1876,1864.54418649538,10
Ann,1877,1121.05909395216,10
Ann,1878,764.378185555928,10
Ann,1879,1476.29253245861,10
Ann,1880,1919.53910503203,10
Ann,1881,1782.06637224026,10
Ann,1882,1709.76570592037,10
Ann,1883,2020.81646435331,10
Ann,1884,1657.4523246749,10
Ann,1885,1221.7021608777,10
Ann,1886,933.010153890528,10
Ann,1887,1330.87240678358,10
Ann,1888,1260.97738045822,10
Ann,1889,1227.10026397702,10
Ann,1890,1017.20533801301,10
Ann,1891,1374.6191777707,10
Ann,1892,734.189790853562,10
Ann,1893,1391.84414694015,10
Ann,1894,1923.41709648379,10
Ann,1895,1285.70652327383,10
Ann,1896,893.025997503374,10
Ann,1897,962.994839876094,10
Ann,1898,1310.68243296121,10
Ann,1899,1346.04487392894,10
Ann,1900,1469.23006397189,10
Ann,1901,1486.50908390934,10
Ann,1902,1545.73055413592,10
Ann,1903,1255.133874952,10
Ann,1904,1389.77833050544,10
Ann,1905,1490.97746280912,10
Ann,1906,1124.96942829081,10
Ann,1907,818.132013795268,10
Ann,1908,1115.38092066526,10
Ann,1909,1730.51199439826,10
Ann,1910,1974.18061912503,10
Ann,1911,1598.39838695433,10
Ann,1912,878.028219348395,10
Ann,1913,573.116052631038,10
Ann,1914,878.929053730343,10
Ann,1915,722.08643882601,10
Ann,1916,1346.55898582403,10
Ann,1917,1726.99861044096,10
Ann,1918,1573.87023818536,10
Ann,1919,886.106908801267,10
Ann,1920,1151.46582663136,10
Ann,1921,935.338981452957,10
Ann,1922,1428.41328914808,10
Ann,1923,1554.41216607935,10
Ann,1924,1296.49026144654,10
Ann,1925,1184.99160283468,10
Ann,1926,1343.2714742127,10
Ann,1927,1269.69007032706,10
Ann,1928,1351.93634167349,10
Ann,1929,1442.53428592202,10
Ann,1930,1172.28028187594,10
Ann,1931,1149.96058933423,10
Ann,1932,1104.23697345421,10
Ann,1933,1226.89808249689,10
Ann,1934,1516.56358112244,10
Ann,1935,1430.20173766669,10
Ann,1936,1237.43148315279,10
Ann,1937,1055.07215716862,10
Ann,1938,1407.67049975713,10
Ann,1939,1659.90869203465,10
Ann,1940,1401.18310303451,10
Ann,1941,1187.65257369419,10
Ann,1942,1016.70082679901,10
Ann,1943,1390.77572501899,10
Ann,1944,1308.54826109172,10
Ann,1945,1886.25891027468,10
Ann,1946,1354.3418238113,10
Ann,1947,1440.36656759243,10
Ann,1948,1590.24169134332,10
Ann,1949,1741.74045699199,10
Ann,1950,1528.30512720653,10
Ann,1951,1827.31734939615,10
Ann,1952,1400.53090180252,10
Ann,1953,1258.51806596993,10
Ann,1954,1506.33832803685,10
Ann,1955,1583.31747027789,10
Ann,1956,1537.78484382378,10
Ann,1957,1465.12273160335,10
Ann,1958,905.478528779408,10
Ann,1959,1098.13450240789,10
Ann,1960,1257.09652546696,10
Ann,1961,1266.14305907701,10
Ann,1962,1686.47087722665,10
Ann,1963,2035.62690512688,10
Ann,1964,1625.36600932654,10
Ann,1965,1481.0135678743,10
Ann,1966,873.624319562599,10
Ann,1967,836.145106055062,10
Ann,1968,961.420318926094,10
Ann,1969,1157.16279127705,10
Ann,1970,1412.29933924976,10
Ann,1971,1337.02672852244,10
Ann,1972,1636.96823636054,10
Ann,1973,1093.31830731776,10
Ann,1974,1842.66402195378,10
Ann,1975,1783.72353985869,10
Ann,1976,1995.98313764454,10
Ann,1977,908.67868138715,10
Ann,1978,1130.91898887146,10
Ann,1979,1496.6684579581,10
Ann,1980,432.713730799585,10
Ann,1981,958.582235140593,10
Ann,1982,1216.19648326961,10
Ann,1983,881.067327974006,10
Ann,1984,790.584108041974,10
Ann,1985,749.784304041505,10
Ann,1986,1078.51415065955,10
Ann,1987,540.409875559499,10
Ann,1988,887.021920282676,10
Ann,1989,1484.14731614387,10
Ann,1990,1072.70458997901,10
Ann,1991,905.36318209022,10
Ann,1992,333.477108794334,10
Ann,1993,559.885221797525,10
Ann,1994,806.988227176367,10
Ann,1995,1489.86237007214,10
Ann,1996,1583.18120606448,10
Ann,1997,1481.38694082704,10
Ann,1998,345.181520878919,10
Ann,1999,392.708898778712,10
Ann,2000,1128.67623269611,10
Ann,2001,1444.44525444294,10
Ann,2002,1613.90881458924,10
Ann,2003,1155.20648452079,10
