year,month,Q
1985,8,40.31
1985,9,137.2
1985,10,220.89
1985,11,53.76
1985,12,19.9
1986,1,9.24
1986,2,5.69
1986,3,4.09
1986,4,5.76
1986,5,12.75
1986,6,41.45
1986,7,26.39
1986,8,21.99
1986,9,98.47
1986,10,229.62
1986,11,268.66
1986,12,84.61
1987,1,27.3
1987,2,15.87
1987,3,13.26
1987,4,10.2
1987,5,33.53
1987,6,15.74
1987,7,18.32
1987,8,100.01
1987,9,262.86
1987,10,101.25
1987,11,35.05
1987,12,12.75
1988,1,7.25
1988,2,5.82
1988,3,5.01
1988,4,4.21
1988,5,6.45
1988,6,24.59
1988,7,12.43
1988,8,138.66
1988,9,372.84
1988,10,215.96
1988,11,144.26
1988,12,42.04
1989,1,13.96
1989,2,7
1989,3,4.02
1989,4,4.59
1989,5,41.92
1989,6,239.29
1989,7,221.49
1989,8,152.27
1989,9,176.71
1989,10,368.43
1989,11,97.27
1989,12,38.42
1990,1,14.49
1990,2,9.31
1990,3,7.36
1990,4,5.29
1990,5,14.18
1990,6,139.66
1990,7,33.1
1990,8,124.25
1990,9,142.14
1990,10,368.85
1990,11,76.55
1990,12,25.74
1991,1,8.41
1991,2,4.28
1991,3,5.91
1991,4,3.9
1991,5,20.52
1991,6,16.9
1991,7,8.14
1991,8,18.8
1991,9,224.33
1991,10,153.38
1991,11,101.67
1991,12,19.53
1992,1,7.35
1992,2,2.19
1992,3,3.43114861
1992,4,5.32
1992,5,2.61
1992,6,3.64
1992,7,1.3
1992,8,32.28
1992,9,187.13
1992,10,137.22
1992,11,48.09
1992,12,15.8
1993,1,10.77
1993,2,8.43
1993,3,8.48
1993,4,4.23
1993,5,1.27
1993,6,4.267963783
1993,7,5.033527219
1993,8,23.35
1993,9,132.16
1993,10,247.95
1993,11,53.82
1993,12,45.07
1994,1,28.73
1994,2,8.7
1994,3,8.05
1994,4,6.36
1994,5,4.83
1994,6,4.66
1994,7,8.18
1994,8,8.85
1994,9,121.5
1994,10,168.96
1994,11,33.01
1994,12,12.83
1995,1,6.33
1995,2,21
1995,3,11.61
1995,4,10.21
1995,5,124.16
1995,6,232.97
1995,7,196.45
1995,8,425.51
1995,9,522.12
1995,10,207.56
1995,11,53.57
1995,12,38.46
1996,1,22.81
1996,2,12.92
1996,3,10.85
1996,4,5.43
1996,5,12.57
1996,6,2.86
1996,7,13.5
1996,8,266.93
1996,9,491.71
1996,10,171.86
1996,11,97.01
1996,12,35.8
1997,1,16.9
1997,2,10.8
1997,3,8.94
1997,4,19.43
1997,5,21.77
1997,6,47.22
1997,7,42.11
1997,8,152.26
1997,9,490.6
1997,10,362.55
1997,11,141.11
1997,12,39.11
1998,1,18.77
1998,2,13
1998,3,10.94
1998,4,7.62
1998,5,5.34
1998,6,4.03
1998,7,4.76
1998,8,20.31
1998,9,69.92
1998,10,230.52
1998,11,27.97
1998,12,18.33
1999,1,8.32
1999,2,4.94
1999,3,2.29
1999,4,6.04
1999,5,9.34
1999,6,2.49
1999,7,20.32
1999,8,29.48
1999,9,183.07
1999,10,37.55
1999,11,21
1999,12,8.85
2000,1,2.83
2000,2,1.12
2000,3,1.21
2000,4,14.01
2000,5,54.9
2000,6,37.97
2000,7,22.5
2000,8,37.45
2000,9,300.85
2000,10,336.91
2000,11,333.18
2000,12,50.35
2001,1,16.3
2001,2,10.58
2001,3,7.49
2001,4,20.06
2001,5,149.59
2001,6,237.76
2001,7,75.78
2001,8,144.75
2001,9,307.26
2001,10,271.78
2001,11,137.02
2001,12,27.3
2002,1,13.56
2002,2,10.32
2002,3,23.24
2002,4,15.54
2002,5,150.52
2002,6,26.83
2002,7,49.51
2002,8,380.22
2002,9,271.75
2002,10,295.05
2002,11,303.26
2002,12,52.93
2003,1,34.12
2003,2,21.3
2003,3,15.43
2003,4,6.23
2003,5,37.14
2003,6,70.31
2003,7,31.6
2003,8,104.38
2003,9,874.8
2003,10,290.31
2003,11,316.4
2003,12,151.58
2004,1,64.55
2004,2,32.11
2004,3,27.91
2004,4,16.78
2004,5,26.92
2004,6,29.22
2004,7,41.2
2004,8,73.27
2004,9,318.7
2004,10,92.74
2004,11,24.08
2004,12,5
2005,1,6.12
2005,2,4
2005,3,3.05
2005,4,2.51
2005,5,17.74
2005,6,59.54
2005,7,48
2005,8,135.16
2005,9,280.21
2005,10,104.17
2005,11,38.17
2005,12,23.3
2006,1,11.3
2006,2,14.05
2006,3,20.07
2006,4,13.44
2006,5,11.14
2006,6,19.69
2006,7,36.43
2006,8,96.84
2006,9,636.77
2006,10,423.58
2006,11,161.54
2006,12,49.29
2007,1,25.67
2007,2,18.31
2007,3,31.98
2007,4,23.7
2007,5,233.76
2007,6,216.38
2007,7,135.17
2007,8,334.41
2007,9,1165.5
2007,10,644.57
2007,11,72.67
2007,12,28.72
2008,1,15.24
2008,2,8.67
2008,3,6.51
2008,4,19.25
2008,5,179.18
2008,6,61.44
2008,7,74.59
2008,8,79.49
2008,9,226.34
2008,10,203.96
2008,11,62.19
2008,12,19.78
2009,1,11.95
2009,2,10.98
2009,3,8.01
2009,4,5.51
2009,5,23.12
2009,6,19.72
2009,7,8.51
2009,8,30.14
2009,9,159.02
2009,10,264.56
2009,11,255.12
2009,12,25.52
2010,1,23.44
2010,2,14.9
2010,3,18.21
2010,4,32.48
2010,5,55.27
2010,6,107.35
2010,7,90.89
2010,8,75.29
2010,9,220.22
2010,10,401.62
2010,11,65.02
2010,12,23.19
2011,1,24.43
2011,2,11.57
2011,3,12.79
2011,4,5.01
2011,5,2.27
2011,6,3.85
2011,7,12.81
2011,8,420.43
2011,9,489.28
2011,10,418.08
2011,11,99.12
2011,12,33.54
2012,1,11.53
2012,2,6.58
2012,3,15.54
2012,4,42.38
2012,5,482.33
2012,6,178.9
2012,7,257.85
2012,8,1091.94
2012,9,1005.03
2012,10,848.87
2012,11,158.34
2012,12,56
2013,1,24.6
2013,2,38.75
2013,3,26.47
2013,4,17.32
2013,5,110.85
2013,6,159.63
2013,7,56.57
2013,8,67.93
2013,9,569.8
2013,10,226.76
2013,11,77.04
2013,12,32.02
2014,1,18.95
2014,2,18.07
2014,3,11.09
2014,4,23.66
2014,5,31.63
2014,6,13.93
2014,7,24.95
2014,8,106.58
2014,9,198.46
2014,10,430.97
2014,11,81.68
2014,12,32.48
2015,1,22.86
2015,2,14.22
2015,3,12.86
2015,4,26.94
2015,5,52.33
2015,6,41.84
2015,7,58.06
2015,8,85.09
2015,9,309.62
2015,10,134.94
2015,11,123.23
2015,12,15.85
2016,1,28.5
2016,2,10.98
2016,3,7.46
2016,4,9.43
2016,5,6.61
2016,6,0.54
2016,7,0.67
2016,8,25.97
2016,9,65.97
2016,10,28.61
2016,11,13.87
2016,12,12.52
2017,1,0.79
2017,2,1.26
2017,3,-0.254512213
2017,4,3.338478019
2017,5,5.306048428
2017,6,7.64
2017,7,11.79
2017,8,40.06
2017,9,349.29
2017,10,372.78
2017,11,187.07
2017,12,29.55
2018,1,25.6
2018,2,11.59
2018,3,14
2018,4,60.26
2018,5,87.25
2018,6,132.02
2018,7,233.94
2018,8,301.69
2018,9,477.72
2018,10,851.42
2018,11,163.58
2018,12,34.83
2019,1,38.13
2019,2,27
2019,3,22.35
2019,4,61.69
2019,5,101.33
2019,6,93.67
2019,7,170.18
2019,8,215.56
2019,9,113.06
2019,10,219.74
2019,11,94.11
2019,12,37.92
2020,1,54.31
2020,2,13.55
2020,3,6.97
